,,,
VD=,0.5,to,5.5
143,1.92,8.9443E-05,
144,1.93,8.9409E-05,
145,1.94,8.945E-05,
146,1.95,8.9493E-05,
147,1.96,8.9435E-05,
148,1.97,8.943E-05,
149,1.98,8.9489E-05,
150,1.99,8.9473E-05,
151,2,8.9436E-05,
152,2.01,8.9492E-05,
153,2.02,8.9519E-05,
154,2.03,8.9464E-05,
155,2.04,8.9463E-05,
156,2.05,8.9522E-05,
157,2.06,8.9491E-05,
158,2.07,8.9456E-05,
159,2.08,8.9516E-05,
160,2.09,8.954E-05,
161,2.1,8.9489E-05,
162,2.11,8.95E-05,
163,2.12,8.9545E-05,
164,2.13,8.9503E-05,
165,2.14,8.9473E-05,
166,2.15,8.9548E-05,
167,2.16,8.9551E-05,
168,2.17,8.95E-05,
169,2.18,8.953E-05,
170,2.19,8.9582E-05,
171,2.2,8.9525E-05,
172,2.21,8.9494E-05,
173,2.22,8.957E-05,
174,2.23,8.9567E-05,
175,2.24,8.9526E-05,
176,2.25,8.957E-05,
177,2.26,8.9613E-05,
178,2.27,8.9555E-05,
179,2.28,8.9544E-05,
180,2.29,8.96E-05,
181,2.3,8.9576E-05,
182,2.31,8.9537E-05,
183,2.32,8.9589E-05,
184,2.33,8.962E-05,
185,2.34,8.9562E-05,
186,2.35,8.9557E-05,
187,2.36,8.9613E-05,
188,2.37,8.9587E-05,
189,2.38,8.9543E-05,
190,2.39,8.9607E-05,
191,2.4,8.9626E-05,
192,2.41,8.9577E-05,
193,2.42,8.9587E-05,
194,2.43,8.9633E-05,
195,2.44,8.9589E-05,
196,2.45,8.9561E-05,
197,2.46,8.9632E-05,
198,2.47,8.9634E-05,
199,2.48,8.9579E-05,
200,2.49,8.9608E-05,
201,2.5,8.9659E-05,
202,2.51,8.9607E-05,
203,2.52,8.9574E-05,
204,2.53,8.9645E-05,
205,2.54,8.964E-05,
206,2.55,8.9601E-05,
207,2.56,8.9639E-05,
208,2.57,8.9677E-05,
209,2.58,8.9616E-05,
210,2.59,8.9608E-05,
211,2.6,8.9667E-05,
212,2.61,8.9646E-05,
213,2.62,8.9604E-05,
214,2.63,8.966E-05,
215,2.64,8.9686E-05,
216,2.65,8.9628E-05,
217,2.66,8.9623E-05,
218,2.67,8.9681E-05,
219,2.68,8.9648E-05,
220,2.69,8.9607E-05,
221,2.7,8.9672E-05,
222,2.71,8.969E-05,
223,2.72,8.9639E-05,
224,2.73,8.9646E-05,
225,2.74,8.9698E-05,
226,2.75,8.9648E-05,
227,2.76,8.9623E-05,
228,2.77,8.9692E-05,
229,2.78,8.9694E-05,
230,2.79,8.9637E-05,
231,2.8,8.9666E-05,
232,2.81,8.9718E-05,
233,2.82,8.9665E-05,
234,2.83,8.9629E-05,
235,2.84,8.97E-05,
236,2.85,8.9695E-05,
237,2.86,8.9657E-05,
238,2.87,8.9692E-05,
239,2.88,8.9731E-05,
240,2.89,8.967E-05,
241,2.9,8.9663E-05,
242,2.91,8.972E-05,
243,2.92,8.9702E-05,
244,2.93,8.9659E-05,
245,2.94,8.9713E-05,
246,2.95,8.9738E-05,
247,2.96,8.9682E-05,
248,2.97,8.9677E-05,
249,2.98,8.9733E-05,
250,2.99,8.9705E-05,
251,3,8.9659E-05,
252,3.01,8.9722E-05,
253,3.02,8.9739E-05,
254,3.03,8.9688E-05,
255,3.04,8.9699E-05,
256,3.05,8.9745E-05,
257,3.06,8.9696E-05,
258,3.07,8.967E-05,
259,3.08,8.9739E-05,
260,3.09,8.974E-05,
261,3.1,8.9687E-05,
262,3.11,8.9715E-05,
263,3.12,8.9765E-05,
264,3.13,8.9712E-05,
265,3.14,8.9676E-05,
266,3.15,8.9747E-05,
267,3.16,8.9741E-05,
268,3.17,8.97E-05,
269,3.18,8.9735E-05,
270,3.19,8.9778E-05,
271,3.2,8.9714E-05,
272,3.21,8.9705E-05,
273,3.22,8.9762E-05,
274,3.23,8.9745E-05,
275,3.24,8.9702E-05,
276,3.25,8.9756E-05,
277,3.26,8.9779E-05,
278,3.27,8.9722E-05,
279,3.28,8.9719E-05,
280,3.29,8.9774E-05,
281,3.3,8.9745E-05,
282,3.31,8.9698E-05,
283,3.32,8.9764E-05,
284,3.33,8.9783E-05,
285,3.34,8.9733E-05,
286,3.35,8.9738E-05,
287,3.36,8.9785E-05,
288,3.37,8.9738E-05,
289,3.38,8.9709E-05,
290,3.39,8.9779E-05,
291,3.4,8.9781E-05,
292,3.41,8.9729E-05,
293,3.42,8.9754E-05,
294,3.43,8.9809E-05,
295,3.44,8.975E-05,
296,3.45,8.9717E-05,
297,3.46,8.9789E-05,
298,3.47,8.9784E-05,
299,3.48,8.9739E-05,
300,3.49,8.9776E-05,
301,3.5,8.9819E-05,
302,3.51,8.9755E-05,
303,3.52,8.9743E-05,
304,3.53,8.9806E-05,
305,3.54,8.9783E-05,
306,3.55,8.9739E-05,
307,3.56,8.9796E-05,
308,3.57,8.9822E-05,
309,3.58,8.9764E-05,
310,3.59,8.9759E-05,
311,3.6,8.9815E-05,
312,3.61,8.9786E-05,
313,3.62,8.9739E-05,
314,3.63,8.9803E-05,
315,3.64,8.9824E-05,
316,3.65,8.977E-05,
317,3.66,8.9776E-05,
318,3.67,8.9826E-05,
319,3.68,8.9777E-05,
320,3.69,8.975E-05,
321,3.7,8.982E-05,
322,3.71,8.9823E-05,
323,3.72,8.9768E-05,
324,3.73,8.9793E-05,
325,3.74,8.9846E-05,
326,3.75,8.979E-05,
327,3.76,8.9754E-05,
328,3.77,8.9827E-05,
329,3.78,8.982E-05,
330,3.79,8.978E-05,
331,3.8,8.9815E-05,
332,3.81,8.9853E-05,
333,3.82,8.9795E-05,
334,3.83,8.9784E-05,
335,3.84,8.9842E-05,
336,3.85,8.982E-05,
337,3.86,8.9781E-05,
338,3.87,8.9836E-05,
339,3.88,8.9857E-05,
340,3.89,8.9799E-05,
341,3.9,8.9793E-05,
342,3.91,8.9851E-05,
343,3.92,8.982E-05,
344,3.93,8.9776E-05,
345,3.94,8.9841E-05,
346,3.95,8.9861E-05,
347,3.96,8.9807E-05,
348,3.97,8.9815E-05,
349,3.98,8.9859E-05,
350,3.99,8.9811E-05,
351,4,8.9784E-05,
352,4.01,8.9855E-05,
353,4.02,8.9855E-05,
354,4.03,8.9803E-05,
355,4.04,8.9828E-05,
356,4.05,8.9879E-05,
357,4.06,8.9825E-05,
358,4.07,8.979E-05,
359,4.08,8.9861E-05,
360,4.09,8.9858E-05,
361,4.1,8.9815E-05,
362,4.11,8.9848E-05,
363,4.12,8.9891E-05,
364,4.13,8.9831E-05,
365,4.14,8.9817E-05,
366,4.15,8.9878E-05,
367,4.16,8.9857E-05,
368,4.17,8.9815E-05,
369,4.18,8.9871E-05,
370,4.19,8.9894E-05,
371,4.2,8.9836E-05,
372,4.21,8.9832E-05,
373,4.22,8.9891E-05,
374,4.23,8.9855E-05,
375,4.24,8.9812E-05,
376,4.25,8.9873E-05,
377,4.26,8.9897E-05,
378,4.27,8.9846E-05,
379,4.28,8.9851E-05,
380,4.29,8.9898E-05,
381,4.3,8.9853E-05,
382,4.31,8.9824E-05,
383,4.32,8.9892E-05,
384,4.33,8.9895E-05,
385,4.34,8.984E-05,
386,4.35,8.9866E-05,
387,4.36,8.992E-05,
388,4.37,8.9864E-05,
389,4.38,8.9831E-05,
390,4.39,8.9904E-05,
391,4.4,8.9897E-05,
392,4.41,8.9855E-05,
393,4.42,8.9891E-05,
394,4.43,8.9932E-05,
395,4.44,8.9871E-05,
396,4.45,8.9864E-05,
397,4.46,8.9918E-05,
398,4.47,8.99E-05,
399,4.48,8.9858E-05,
400,4.49,8.9916E-05,
401,4.5,8.9941E-05,
402,4.51,8.9881E-05,
403,4.52,8.9876E-05,
404,4.53,8.9935E-05,
405,4.54,8.9902E-05,
406,4.55,8.9861E-05,
407,4.56,8.9926E-05,
408,4.57,8.9949E-05,
409,4.58,8.9893E-05,
410,4.59,8.9902E-05,
411,4.6,8.9948E-05,
412,4.61,8.9902E-05,
413,4.62,8.9874E-05,
414,4.63,8.9943E-05,
415,4.64,8.9948E-05,
416,4.65,8.9895E-05,
417,4.66,8.9919E-05,
418,4.67,8.9977E-05,
419,4.68,8.9921E-05,
420,4.69,8.9888E-05,
421,4.7,8.996E-05,
422,4.71,8.9956E-05,
423,4.72,8.9916E-05,
424,4.73,8.9953E-05,
425,4.74,8.9991E-05,
426,4.75,8.9938E-05,
427,4.76,8.9925E-05,
428,4.77,8.9983E-05,
429,4.78,8.9966E-05,
430,4.79,8.9927E-05,
431,4.8,8.9979E-05,
432,4.81,9.0008E-05,
433,4.82,8.995E-05,
434,4.83,8.995E-05,
435,4.84,9.001E-05,
436,4.85,8.9979E-05,
437,4.86,8.9937E-05,
438,4.87,9E-05,
439,4.88,9.0023E-05,
440,4.89,8.9972E-05,
441,4.9,8.9982E-05,
442,4.91,9.0032E-05,
443,4.92,8.9987E-05,
444,4.93,8.996E-05,
445,4.94,9.0031E-05,
446,4.95,9.0035E-05,
447,4.96,8.9985E-05,
448,4.97,9.0013E-05,
449,4.98,9.0067E-05,
450,4.99,9.0015E-05,
451,5,8.9985E-05,
452,5.01,9.006E-05,
453,5.02,9.0056E-05,
454,5.03,9.002E-05,
455,5.04,9.0056E-05,
456,5.05,9.01E-05,
457,5.06,9.0046E-05,
458,5.07,9.0036E-05,
459,5.08,9.0098E-05,
460,5.09,9.008E-05,
461,5.1,9.0043E-05,
462,5.11,9.0101E-05,
463,5.12,9.0129E-05,
464,5.13,9.0074E-05,
465,5.14,9.0074E-05,
466,5.15,9.0136E-05,
467,5.16,9.0112E-05,
468,5.17,9.0067E-05,
469,5.18,9.0136E-05,
470,5.19,9.0163E-05,
471,5.2,9.0112E-05,
472,5.21,9.0126E-05,
473,5.22,9.0177E-05,
474,5.23,9.0137E-05,
475,5.24,9.0111E-05,
476,5.25,9.0188E-05,
477,5.26,9.0199E-05,
478,5.27,9.0149E-05,
479,5.28,9.0181E-05,
480,5.29,9.0237E-05,
481,5.3,9.0187E-05,
482,5.31,9.0161E-05,
483,5.32,9.0241E-05,
484,5.33,9.0242E-05,
485,5.34,9.0207E-05,
486,5.35,9.0246E-05,
487,5.36,9.0297E-05,
488,5.37,9.0244E-05,
489,5.38,9.0237E-05,
490,5.39,9.0302E-05,
491,5.4,9.029E-05,
492,5.41,9.0259E-05,
493,5.42,9.0319E-05,
494,5.43,9.0355E-05,
495,5.44,9.0307E-05,
496,5.45,9.0307E-05,
497,5.46,9.0376E-05,
498,5.47,9.0356E-05,
499,5.48,9.0319E-05,
500,5.49,9.0388E-05,
501,5.5,9.0423E-05,
